NAME,SHAPE,INPUT,OUTPUT,OPS,CYCLE,LINES
_NDP_custom-call_0,32,1,1,1,335,6
_NDP_custom-call.108_0,512,2,1,1,368,9
_NDP_custom-call.109_0,512,2,1,1,368,9
_NDP_custom-call.110_0,512,2,1,1,368,9
_NDP_custom-call.111_0,512,2,1,1,368,9
_NDP_custom-call.112_0,512,2,1,1,368,9
_NDP_custom-call.113_0,512,2,1,1,368,9
_NDP_custom-call.114_0,512,2,1,1,368,9
_NDP_custom-call.115_0,1024,2,1,1,380,9
_NDP_custom-call.116_0,512,2,1,1,368,9
_NDP_custom-call.117_0,512,2,1,1,368,9
_NDP_custom-call.118_0,1024,2,1,1,391,9
_NDP_custom-call.119_0,512,2,1,1,368,9
_NDP_custom-call.120_0,512,2,1,1,368,9
_NDP_custom-call.121_0,512,2,1,1,371,9
_NDP_custom-call.122_0,512,2,1,1,368,9
_NDP_custom-call.123_0,1024,2,1,1,391,9
_NDP_custom-call.124_0,512,2,1,1,368,9
_NDP_custom-call.125_0,512,2,1,1,368,9
_NDP_custom-call.126_0,512,2,1,1,368,9
_NDP_custom-call.127_0,256,3,1,2,350,12
_NDP_custom-call.128_0,98304,6,1,7,15059,19
_NDP_custom-call.129_0,98304,9,1,10,10779,25
_NDP_custom-call.130_0,98304,9,1,10,10840,25
_NDP_custom-call.131_0,98304,6,1,7,15297,19
_NDP_custom-call.132_0,98304,9,1,10,11163,25
_NDP_custom-call.133_0,98304,6,1,7,15352,19
_NDP_custom-call.134_0,98304,6,1,7,15041,19
_NDP_custom-call.135_0,98304,9,1,10,10050,25
_NDP_custom-call.136_0,12288,3,1,2,1786,11
_NDP_custom-call.137_0,512,2,1,1,368,9
_NDP_custom-call.138_0,98304,9,1,10,11653,25
_NDP_custom-call.139_0,98304,6,1,7,15280,19
_NDP_custom-call.140_0,98304,9,1,10,10759,25
_NDP_custom-call.141_0,98304,6,1,7,15522,19
_NDP_custom-call.142_0,32,4,2,4,378,14
_NDP_custom-call.143_0,512,2,1,1,368,9
_NDP_custom-call.144_0,512,2,1,1,368,9
_NDP_custom-call.145_0,512,2,1,1,368,9
_NDP_custom-call.146_0,512,2,1,1,381,9
_NDP_custom-call.147_0,12288,2,1,1,1830,9
_NDP_custom-call.148_0,12288,2,1,1,1830,9
_NDP_custom-call.149_0,12288,2,1,1,1830,9
_NDP_custom-call.150_0,512,2,1,1,368,9
_NDP_custom-call.151_0,12288,2,1,1,1830,9
_NDP_custom-call.152_0,12288,2,1,1,1830,9
_NDP_custom-call.153_0,12288,2,1,1,1830,9
_NDP_custom-call.154_0,12288,2,1,1,1830,9
_NDP_custom-call.155_0,12288,2,1,1,1830,9
_NDP_custom-call.156_0,12288,2,1,1,1830,9
_NDP_custom-call.157_0,12288,2,1,1,1830,9
_NDP_custom-call.158_0,12288,2,1,1,1830,9
_NDP_custom-call.159_0,12288,2,1,1,1860,9
_NDP_custom-call.160_0,12288,2,1,1,1830,9
_NDP_custom-call.161_0,12288,2,1,1,1830,9
_NDP_custom-call.163_0,12288,2,1,1,1830,9
_NDP_custom-call.164_0,512,2,1,1,368,9
_NDP_custom-call.165_0,512,2,1,1,368,9
_NDP_custom-call.166_0,512,2,1,1,368,9
_NDP_custom-call.167_0,512,2,1,1,368,9
_NDP_custom-call.168_0,512,2,1,1,368,9
_NDP_custom-call.169_0,1024,2,1,1,391,9
_NDP_custom-call.170_0,512,2,1,1,368,9
_NDP_custom-call.171_0,12288,2,1,1,1830,9
_NDP_custom-call.172_0,12288,2,1,1,1830,9
_NDP_custom-call.173_0,12288,2,1,1,1865,9
_NDP_custom-call.174_0,12288,2,1,1,1830,9
_NDP_custom-call.175_0,12288,2,1,1,1865,9
_NDP_custom-call.176_0,12288,2,1,1,1867,9
_NDP_custom-call.177_0,12288,2,1,1,1830,9
_NDP_custom-call.178_0,12288,2,1,1,1830,9
_NDP_custom-call.179_0,12288,2,1,1,1867,9
_NDP_custom-call.180_0,12288,2,1,1,1830,9
_NDP_custom-call.181_0,98304,8,3,13,28054,31
_NDP_custom-call.182_0,12288,8,0,8,1268,23
_NDP_custom-call.183_0,12288,8,0,8,1181,23
_NDP_custom-call.184_0,98304,8,3,13,28646,31
_NDP_custom-call.185_0,12288,8,0,8,1327,23
_NDP_custom-call.186_0,12288,8,0,8,1357,23
_NDP_custom-call.187_0,98304,8,3,13,29789,31
_NDP_custom-call.188_0,12288,8,0,8,1246,23
_NDP_custom-call.189_0,98304,8,3,13,28456,31
_NDP_custom-call.190_0,12288,8,0,8,1217,23
_NDP_custom-call.191_0,98304,8,3,13,27909,31
_NDP_custom-call.192_0,12288,8,0,8,1256,23
_NDP_custom-call.194_0,2818048,2,1,1,151716,7
_NDP_custom-call.195_0,3014656,3,1,2,159155,9
_NDP_custom-call.197_0,3014656,3,1,2,161138,9
_NDP_custom-call.198_0,2818048,3,1,2,151892,9
_NDP_custom-call.199_0,2818048,3,1,2,152348,9
_NDP_custom-call.200_0,3014656,3,1,2,161767,9
_NDP_custom-call.201_0,2818048,3,1,2,151688,9
_NDP_custom-call.203_0,2818048,3,1,2,150372,9
_NDP_custom-call.204_0,1884160,12,3,14,305072,34
_NDP_custom-call.205_0,3145728,1,1,1,141640,6
_NDP_custom-call.206_0,3145728,1,1,1,141640,6
_NDP_custom-call.207_0,3145728,1,1,1,141638,6
_NDP_custom-call.208_0,3145728,1,1,1,141640,6
_NDP_custom-call.209_0,512,57,18,74,1371,154
_NDP_custom-call.9_1_NdpEwiseFusedSeq$fusion.8,98304,1,1,0,NOT FOUND
output,0,0,0,-1,NOT FOUND
