NAME,SHAPE,INPUT,OUTPUT,OPS,CYCLE,LINES
_NDP_custom-call.303_0,6291456,6,5,10,4007986,34
_NDP_custom-call.304_0,1572864,6,5,10,1000855,34
_NDP_custom-call.305_0,1572864,6,5,10,988397,34
_NDP_custom-call.306_0,1572864,3,2,4,385314,16
_NDP_custom-call.307_0,1572864,3,2,4,401801,16
_NDP_custom-call.308_0,1572864,3,2,4,385570,16
_NDP_custom-call.309_0,1572864,4,1,4,216320,14
_NDP_custom-call.310_0,1572864,4,1,4,216862,14
_NDP_custom-call.311_0,32768,10,1,20,4644,34
_NDP_custom-call.312_0,1572864,4,1,3,86659,11
_NDP_custom-call.313_0,1572864,4,1,3,86763,11
_NDP_custom-call.314_0,46881792,12,3,14,7582082,34
_NDP_custom-call.315_0,1572864,4,1,4,216347,14
_NDP_custom-call.316_0,1572864,4,1,4,216037,14
_NDP_custom-call.317_0,24576,2,1,1,3298,9
_NDP_custom-call.318_0,24576,2,1,1,3220,9
_NDP_custom-call.319_0,24576,2,1,1,3220,9
_NDP_custom-call.320_0,24576,2,1,1,3220,9
_NDP_custom-call.321_0,24576,2,1,1,3220,9
_NDP_custom-call.322_0,24576,2,1,1,3220,9
_NDP_custom-call.323_0,24576,2,1,1,3220,9
_NDP_custom-call.324_0,24576,2,1,1,3220,9
_NDP_custom-call.325_0,24576,2,1,1,3220,9
_NDP_custom-call.326_0,24576,2,1,1,3220,9
_NDP_custom-call.327_0,24576,2,1,1,3220,9
_NDP_custom-call.328_0,24576,2,1,1,3220,9
_NDP_custom-call.329_0,24576,2,1,1,3222,9
_NDP_custom-call.330_0,1572864,4,1,4,223907,14
_NDP_custom-call.331_0,1572864,4,1,4,245073,14
_NDP_custom-call.332_0,1572864,4,1,3,86911,11
_NDP_custom-call.333_0,1572864,4,1,3,86804,11
_NDP_custom-call.334_0,1572864,4,1,4,224555,14
_NDP_custom-call.335_0,1572864,4,1,4,246853,14
_NDP_custom-call.336_0,1572864,4,1,4,215192,14
_NDP_custom-call.337_0,1572864,4,1,3,86999,11
_NDP_custom-call.338_0,1572864,4,1,4,243477,14
_NDP_custom-call.339_0,1572864,4,1,4,224755,14
_NDP_custom-call.340_0,1572864,4,1,3,86756,11
_NDP_custom-call.341_0,1572864,4,1,4,216288,14
_NDP_custom-call.342_0,1572864,4,1,4,224152,14
_NDP_custom-call.343_0,1572864,4,1,4,225280,14
_NDP_custom-call.344_0,1572864,4,1,3,87024,11
_NDP_custom-call.345_0,1572864,4,1,3,86904,11
_NDP_custom-call.346_0,1572864,4,1,4,225084,14
_NDP_custom-call.347_0,1572864,4,1,4,217038,14
_NDP_custom-call.348_0,1572864,4,1,4,224880,14
_NDP_custom-call.349_0,24576,2,1,1,3220,9
_NDP_custom-call.350_0,1572864,4,1,4,218214,14
_NDP_custom-call.351_0,1536,4,1,6,530,16
_NDP_custom-call.352_0,24576,2,1,1,3220,9
_NDP_custom-call.353_0,24576,2,1,1,3222,9
_NDP_custom-call.354_0,24576,2,1,1,3298,9
_NDP_custom-call.355_0,24576,2,1,1,3222,9
_NDP_custom-call.356_0,24576,2,1,1,3220,9
_NDP_custom-call.357_0,24576,2,1,1,3222,9
_NDP_custom-call.358_0,1572864,4,1,4,215406,14
_NDP_custom-call.359_0,1572864,4,1,3,87035,11
_NDP_custom-call.360_0,24576,2,1,1,3222,9
_NDP_custom-call.361_0,64,3,1,4,361,13
_NDP_custom-call.362_0,1572864,4,1,4,225619,14
_NDP_custom-call.363_0,1572864,4,1,3,86845,11
_NDP_custom-call.364_0,1572864,4,1,4,224583,14
_NDP_custom-call.365_0,1572864,4,1,4,220145,14
_NDP_custom-call.366_0,1572864,4,1,3,87013,11
_NDP_custom-call.367_0,64,3,1,5,391,12
_NDP_custom-call.368_0,1572864,4,1,4,223355,14
_NDP_custom-call.369_0,24576,2,1,1,3220,9
_NDP_custom-call.370_0,24576,2,1,1,3220,9
_NDP_custom-call.371_0,24576,2,1,1,3222,9
_NDP_custom-call.372_0,24576,2,1,1,3220,9
_NDP_custom-call.373_0,24576,2,1,1,3222,9
_NDP_custom-call.374_0,24576,2,1,1,3222,9
_NDP_custom-call.375_0,24576,2,1,1,3222,9
_NDP_custom-call.376_0,24576,2,1,1,3220,9
_NDP_custom-call.377_0,24576,2,1,1,3220,9
_NDP_custom-call.378_0,24576,2,1,1,3222,9
_NDP_custom-call.379_0,24576,2,1,1,3222,9
_NDP_custom-call.380_0,24576,2,1,1,3222,9
_NDP_custom-call.381_0,24576,2,1,1,3222,9
_NDP_custom-call.382_0,24576,2,1,1,3286,9
_NDP_custom-call.383_0,24576,2,1,1,3220,9
_NDP_custom-call.384_0,12582912,5,1,16,754599,26
_NDP_custom-call.385_0,12582912,5,1,16,752792,26
_NDP_custom-call.386_0,1572864,7,1,23,158120,34
_NDP_custom-call.387_0,6291456,11,1,26,800114,41
_NDP_custom-call.388_0,6291456,11,1,26,862817,41
_NDP_custom-call.389_0,6291456,11,1,26,799144,41
_NDP_custom-call.390_0,6291456,4,1,15,359787,23
_NDP_custom-call.391_0,1572864,2,1,11,83275,17
_NDP_custom-call.392_0,12582912,4,1,15,777894,24
_NDP_custom-call.393_0,1572864,2,1,11,83395,17
_NDP_custom-call.394_0,12582912,5,1,16,856159,26
_NDP_custom-call.395_0,12582912,4,1,15,724557,24
_NDP_custom-call.396_0,6291456,4,1,15,358770,23
_NDP_custom-call.397_0,1572864,2,1,11,82876,17
_NDP_custom-call.398_0,12582912,4,1,15,721200,24
_NDP_custom-call.399_0,12582912,5,1,16,809233,26
_NDP_custom-call.400_0,6291456,4,1,15,359840,23
_NDP_custom-call.401_0,1572864,2,1,11,83544,17
_NDP_custom-call.402_0,6291456,11,1,26,842453,41
_NDP_custom-call.403_0,6291456,11,1,26,800041,41
_NDP_custom-call.404_0,1572864,2,1,11,83161,17
_NDP_custom-call.405_0,6291456,11,1,26,866726,41
_NDP_custom-call.406_0,12582912,4,1,15,721545,24
_NDP_custom-call.407_0,12582912,5,1,16,808797,26
_NDP_custom-call.408_0,12582912,4,1,15,723552,24
_NDP_custom-call.409_0,12582912,5,1,16,808541,26
_NDP_custom-call.410_0,12582912,4,1,15,721086,24
_NDP_custom-call.411_0,1572864,2,1,11,82036,17
_NDP_custom-call.412_0,6291456,11,1,26,799505,41
_NDP_custom-call.413_0,6291456,4,1,15,360096,23
_NDP_custom-call.414_0,4718592,73,24,106,6276464,206
_NDP_custom-call.415_0,1572864,2,1,11,82988,17
_NDP_custom-call.416_0,12582912,4,1,15,736642,24
_NDP_custom-call.417_0,12582912,5,1,16,787812,26
_NDP_custom-call.418_0,6291456,11,1,26,846131,41
_NDP_custom-call.419_0,6291456,4,1,15,360675,23
_NDP_custom-call.420_0,12582912,5,1,16,808465,26
_NDP_custom-call.421_0,12582912,4,1,15,720458,24
_NDP_custom-call.422_0,1572864,2,1,11,83174,17
_NDP_custom-call.423_0,4718592,73,24,106,6165622,206
_NDP_custom-call.424_0,12582912,4,1,15,721961,24
_NDP_custom-call.425_0,6291456,4,1,15,359204,23
_NDP_custom-call.426_0,233472,1,1,1,10800,6
_NDP_custom-call.427_0,6291456,4,1,15,359938,23
_NDP_custom-call.428_0,6291456,4,1,15,358736,23
_NDP_custom-call.429_0,12582912,5,1,16,808038,26
_NDP_custom-call.430_0,6291456,4,1,15,364857,23
_NDP_custom-call.431_0,6291456,11,1,26,800548,41
_NDP_custom-call.432_0,1572864,2,1,11,82880,17
_NDP_custom-call.433_0,12582912,4,1,15,721994,24
_NDP_custom-call.434_0,12582912,5,1,16,809864,26
_NDP_custom-call.435_0,1572864,2,1,11,83544,17
_NDP_custom-call.436_0,12582912,4,1,15,722486,24
_NDP_custom-call.437_0,12582912,5,1,16,744581,26
_NDP_custom-call.438_0,1179648,1,1,1,53304,6
_NDP_custom-call.439_0,12582912,3,1,14,701627,22
_NDP_custom-call.440_0,1572864,2,1,1,194896,9
_NDP_custom-call.441_0,1572864,2,1,1,194944,9
_NDP_custom-call.442_0,1572864,2,1,1,194991,9
_NDP_custom-call.443_0,1572864,2,1,1,195289,9
_NDP_custom-call.444_0,1572864,2,1,1,195096,9
_NDP_custom-call.445_0,1572864,2,1,1,195100,9
_NDP_custom-call.446_0,1572864,2,1,1,195092,9
_NDP_custom-call.447_0,1179648,1,1,1,53304,6
_NDP_custom-call.448_0,1179648,1,1,1,53303,6
_NDP_custom-call.449_0,1179648,1,1,1,53304,6
_NDP_custom-call.450_0,1179648,1,1,1,53304,6
_NDP_custom-call.451_0,1179648,1,1,1,53305,6
_NDP_custom-call.452_0,1179648,1,1,1,53304,6
